Aggressive,18-25,,,,,,25-35,,,,,,35-45,,,,,,45-55,,,,,,55-65,,,,,,>65,,,,,
Investment Time Horizon,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg
< 3M,100,,,,,,100,,,,,,100,,,,,,100,,,,,,100,,,,,,100,,,,,
< 6M,60,40,,,,,60,40,,,,,60,40,,,,,60,40,,,,,80,20,,,,,100,,,,,
< 1Y,,100,,,,,,100,,,,,20,80,,,,,30,70,,,,,40,60,,,,,50,50,,,,
18,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
19,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
20,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
21,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
22,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
23,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
24,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
25,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
26,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
27,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
28,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
29,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
30,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
31,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
32,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
33,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
34,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
35,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
36,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
37,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
38,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
39,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
40,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
41,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
42,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
43,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
44,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
45,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
46,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
47,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
48,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
49,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
50,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
