Age Group,Investment Time Horizon,Risk Type,Allocation
25-35,19,Income,
25-35,20,Income,
25-35,21,Income,
25-35,22,Income,
25-35,23,Income,
25-35,24,Income,
25-35,25,Income,
25-35,26,Income,
25-35,27,Income,
25-35,28,Income,
25-35,29,Income,
25-35,30,Income,
25-35,31,Income,
25-35,32,Income,
25-35,33,Income,
25-35,34,Income,
25-35,35,Income,
25-35,36,Income,
25-35,37,Income,
25-35,38,Income,
25-35,39,Income,
25-35,40,Income,
25-35,41,Income,
25-35,42,Income,
25-35,43,Income,
25-35,44,Income,
25-35,45,Income,
25-35,46,Income,
25-35,47,Income,
25-35,48,Income,
25-35,49,Income,
25-35,50,Income,
25-35,< 3M,Balanced,
25-35,< 6M,Balanced,
25-35,< 1Y,Balanced,
25-35,1,Balanced,
25-35,2,Balanced,0.0
25-35,3,Balanced,40.0
25-35,4,Balanced,60.0
25-35,5,Balanced,80.0
25-35,6,Balanced,60.0
25-35,7,Balanced,40.0
25-35,8,Balanced,
25-35,9,Balanced,
25-35,10,Balanced,
25-35,11,Balanced,
25-35,12,Balanced,
25-35,13,Balanced,
25-35,14,Balanced,
25-35,15,Balanced,
25-35,16,Balanced,
25-35,17,Balanced,
25-35,18,Balanced,
25-35,19,Balanced,
25-35,20,Balanced,
25-35,21,Balanced,
25-35,22,Balanced,
25-35,23,Balanced,
25-35,24,Balanced,
25-35,25,Balanced,
25-35,26,Balanced,
25-35,27,Balanced,
25-35,28,Balanced,
25-35,29,Balanced,
25-35,30,Balanced,
25-35,31,Balanced,
25-35,32,Balanced,
25-35,33,Balanced,
25-35,34,Balanced,
25-35,35,Balanced,
25-35,36,Balanced,
25-35,37,Balanced,
25-35,38,Balanced,
25-35,39,Balanced,
25-35,40,Balanced,
25-35,41,Balanced,
25-35,42,Balanced,
25-35,43,Balanced,
25-35,44,Balanced,
25-35,45,Balanced,
25-35,46,Balanced,
25-35,47,Balanced,
25-35,48,Balanced,
25-35,49,Balanced,
25-35,50,Balanced,
25-35,< 3M,Equity – Mod,
25-35,< 6M,Equity – Mod,
25-35,< 1Y,Equity – Mod,
25-35,1,Equity – Mod,
25-35,2,Equity – Mod,
25-35,3,Equity – Mod,
25-35,4,Equity – Mod,
25-35,5,Equity – Mod,20.0
25-35,6,Equity – Mod,40.0
25-35,7,Equity – Mod,60.0
25-35,8,Equity – Mod,80.0
